parking_id,scenario_id,dimension_code,subscore,weight_applied,weighted_contribution
52,1,DEMAND,81.91400215185098,0.3,24.574200645555294
18,1,DEMAND,83.90716413798003,0.3,25.17214924139401
1,1,DEMAND,87.6022292064125,0.3,26.28066876192375
17,1,DEMAND,76.44915879637628,0.3,22.934747638912885
6,1,DEMAND,83.67415560065014,0.3,25.10224668019504
51,1,DEMAND,81.4210944538978,0.3,24.426328336169338
41,1,DEMAND,67.39266635560617,0.3,20.21779990668185
3,1,DEMAND,78.02095273354942,0.3,23.406285820064827
8,1,DEMAND,74.9933366812722,0.3,22.49800100438166
13,1,DEMAND,68.80186296150517,0.3,20.640558888451547
16,1,DEMAND,73.36267224708465,0.3,22.008801674125394
21,1,DEMAND,67.34304679112077,0.3,20.20291403733623
15,1,DEMAND,70.82627236247953,0.3,21.247881708743858
19,1,DEMAND,71.57963704087973,0.3,21.473891112263917
55,1,DEMAND,81.4428900553814,0.3,24.43286701661442
46,1,DEMAND,73.34336231043629,0.3,22.003008693130887
22,1,DEMAND,61.85590767747229,0.3,18.556772303241686
7,1,DEMAND,74.62298693517744,0.3,22.38689608055323
43,1,DEMAND,70.59934188555627,0.3,21.17980256566688
12,1,DEMAND,77.92370930311955,0.3,23.377112790935865
2,1,DEMAND,62.22919402828535,0.3,18.668758208485603
4,1,DEMAND,72.22443068411252,0.3,21.667329205233756
14,1,DEMAND,63.79760397381464,0.3,19.13928119214439
45,1,DEMAND,51.322172403868464,0.3,15.396651721160538
42,1,DEMAND,70.11332988616556,0.3,21.033998965849666
9,1,DEMAND,75.13225479354617,0.3,22.53967643806385
85,1,DEMAND,35.051889157763185,0.3,10.515566747328956
5,1,DEMAND,80.16765723811618,0.3,24.050297171434853
10,1,DEMAND,62.56865235869486,0.3,18.770595707608457
83,1,DEMAND,30.51963874667961,0.3,9.155891624003884
44,1,DEMAND,58.62939942242583,0.3,17.588819826727747
40,1,DEMAND,38.85182823582255,0.3,11.655548470746766
50,1,DEMAND,65.44111873863201,0.3,19.632335621589604
11,1,DEMAND,38.15855652609858,0.3,11.447566957829574
34,1,DEMAND,34.57087286074559,0.3,10.371261858223676
118,1,DEMAND,28.84687932542555,0.3,8.654063797627664
49,1,DEMAND,78.16209407470151,0.3,23.448628222410452
101,1,DEMAND,23.11180041973354,0.3,6.933540125920062
20,1,DEMAND,61.60374118078423,0.3,18.481122354235268
104,1,DEMAND,36.64172294836256,0.3,10.992516884508769
86,1,DEMAND,29.796456478329706,0.3,8.938936943498911
75,1,DEMAND,10.191878853787792,0.3,3.0575636561363373
99,1,DEMAND,29.114297667594037,0.3,8.734289300278212
